# =====================================================================
# rakuten_link_library.csv — 楽天アフィリエイト リンクライブラリ（マスター）
# =====================================================================
# 目的: Threads @ai_store_lab の楽天リプライ（DEV_RIO_705）で使う
#       「ゆうさんが楽天アフィリ管理画面で発行した本物のリンク」だけを管理する台帳。
#       ここに無いリンクはワークフローが絶対に使わない（リンク捏造ゼロ）。
#
# 運用フロー:
#   1. ゆうさんが楽天アフィリエイト管理画面でリンクを発行する
#   2. このCSVに1行追加する（status=active）
#   3. n8n の DEV_RIO_705 内 Code ノード「Link Library」の LINK_LIBRARY 定数に同じ内容を転記する
#      （n8nクラウドはローカルファイルを読めないため。CSVがマスター、Codeノードは写し）
#   4. DEV_RIO_705 を手動テスト実行し、リンク入り・#PR表記付きのリプライになることを確認する
#
# カラム定義:
#   id            : 一意ID（例: RKT-001）
#   genre         : ジャンルキー（小文字英数推奨）。ワークフローが生成する product_genre と照合される
#   product_name  : 商品名（管理用）
#   affiliate_url : 楽天アフィリ管理画面で発行した実URL。手打ち・推測・生成したURLの登録は禁止
#   pr_note       : 運用メモ欄（例: 楽天アフィリエイトリンクを含みます）。投稿文には使われない。
#                   実際の投稿文には genre 一致時のみ固定文言「#PR」が付く（ステマ規制対応・簡潔表記）
#   status        : active（使用中）/ inactive（停止中）
#   added_date    : 追加日 YYYY-MM-DD
#
# 記入例（↓はダミー。実在するURLではなく使用不可。実際は発行したURLをそのまま貼ること）:
# RKT-001,kitchen,（例）フライパン28cm,https://hb.afl.rakuten.co.jp/hgc/XXXXXXXX/?pc=DUMMY-DO-NOT-USE,楽天アフィリエイトリンクを含みます,active,2026-08-02
#
# 注意: 行頭が「#」の行はコメント。実データは下のヘッダー行以降に1行ずつ追記する。
id,genre,product_name,affiliate_url,pr_note,status,added_date
RKT-001,photo_gear,【楽天5冠達成!!】リングライト 三脚タイプ スマホスタンド 10インチ（Latuna・3590円・料率2.0%）,https://a.r10.to/hkmJqO,楽天アフィリエイトリンクを含みます,active,2026-08-02
RKT-002,store_signage,A型看板 ブラックボード 両面 幅38×高さ78cm 木製スタンド看板（MOREAGE・5990円・料率10.0%）,https://a.r10.to/T3YbFn,楽天アフィリエイトリンクを含みます,active,2026-08-02
RKT-003,marketing_book,店舗やサロンのためのInstagram集客・販促の教科書（山下良枝・楽天ブックス・2200円・料率3.0%）,https://a.r10.to/hgtsW1,楽天アフィリエイトリンクを含みます,active,2026-08-02
RKT-004,cleaning_supplies,業務用ペーパータオル 200枚×35パック（暮らし健康ネット館・3980円・料率3.0%）,https://a.r10.to/hRG9xn,楽天アフィリエイトリンクを含みます,active,2026-08-02
RKT-005,store_opening,キャッシュトレイ コイントレー ホリック 888円（料率3.0%）,https://a.r10.to/h5282w,楽天アフィリエイトリンクを含みます,active,2026-08-10
RKT-006,store_opening,業務用エプロン カフェエプロン60cm THEユニフォーム 1170円（料率3.0%）,https://a.r10.to/hg43Yc,楽天アフィリエイトリンクを含みます,active,2026-08-10
RKT-007,photo_gear,撮影ボックス ミニ 折りたたみ式 ハレゾラTBP 1990円（料率10.0%）,https://a.r10.to/h5rnoA,楽天アフィリエイトリンクを含みます,active,2026-08-10
RKT-008,store_opening,Phomemo 感熱ラベルプリンター M110/M220 1199円〜（料率2.0%）,https://a.r10.to/hPxOL3,楽天アフィリエイトリンクを含みます,active,2026-08-10
RKT-009,store_opening,シュレッダー A4 クロスカット 静音 simplus SP-SRD01 3999円,https://a.r10.to/h5etMC,楽天アフィリエイトリンクを含みます,active,2026-08-10
RKT-010,store_opening,ラミネーター A4 simplus SP-LMN01 2799円,https://a.r10.to/h5dWQs,楽天アフィリエイトリンクを含みます,active,2026-08-10
RKT-011,photo_gear,フレキシブル三脚 ミニ三脚 スマホスタンド K&F Concept 2999円,https://a.r10.to/h58Z22,楽天アフィリエイトリンクを含みます,active,2026-08-10
