# =====================================================================
# threads_posts_queue.csv — Threads（@ai_store_lab）承認済み投稿キュー
# =====================================================================
# 作成: 2026-08-10
# 位置づけ: ゆうさんが一括承認済みの投稿文をストックし、Claude Codeが
#   scripts/threads_publish.js（公式Threads Graph API経由）で1日2〜3本
#   ペースで公開していくためのキュー。
#   ここに載っている文面は既にゆうさんの承認を得たものであり、
#   新規に生成した文面を無断で追加投稿することはない（CLAUDE.mdの
#   「投稿ごとの承認」を満たした状態でのみpendingから公開に進む）。
#
# 重複回避ルール:
#   既存のnote.com送客の予約投稿（餌-006〜011、毎日21:00固定）と同日に
#   ぶつけないよう、1日の合計投稿数が2〜3本を超えない日付を割り当てる。
#
# カラム定義:
#   id             : 一意ID（例: TQ-001）
#   related_wp_id  : 送客先WordPress記事のID
#   affiliate_program : 主なアフィリエイトプログラム
#   target_date    : 公開予定日（YYYY-MM-DD、既存note予約と衝突しない日を割当済み）
#   post_text      : 投稿本文（コピペ/自動投稿共用、URL含まず）
#   reply_url      : 1コメント目に貼るリンク
#   qa_score       : 自己採点（sns-post-quality-check基準・10点満点）
#   status         : approved（承認済み・公開待ち）/ published（公開済み）
#   published_url  : 公開後の投稿URL
#   published_at   : 公開日時
#
# 注意: 行頭が「#」の行はコメント。
#
#
#
#
id,related_wp_id,affiliate_program,target_date,post_text,reply_url,qa_score,status,published_url,published_at
TQ-002,WP-003,A8.net,2026-08-11,"POSレジ選びで一番後悔しやすいのは、導入してから""この機能が無かった""と気づくパターンです。美容室・整体院・飲食店、業種ごとに優先すべき機能が違うので、後悔しないチェックポイントを1本にまとめました。 / 👉 1コメント目のリンクから",https://treecosme.home.blog/2026/08/05/posレジ選びで失敗しないために｜美容室・飲食店/,8,published,https://www.threads.com/@ai_store_lab/post/Db4W6ikk8V5,2026-08-11T01:01:20.155Z
TQ-003,WP-006,A8.net,2026-08-11,Googleマップの登録やSNSのプロフィール欄に、無料ブログのアドレスをそのまま貼っていませんか。独自ドメインに変えるだけで信頼感が変わります。取得手順と、あとで困りやすい更新料の注意点をまとめました。 / 👉 1コメント目のリンクから,https://treecosme.home.blog/2026/08/07/店の独自ドメインを取るなら？お名前-comでの取得/,8,published,https://www.threads.com/@ai_store_lab/post/Db67th_kzYg,2026-08-12T01:01:22.998Z
TQ-004,WP-007,もしもアフィリエイト,2026-08-11,タイムカードの集計、月末にまとめて電卓を叩いていませんか。無料で始められる勤怠アプリに切り替えるだけで、その集計作業自体がなくなります。導入のハードルが低いものを選びました。 / 👉 1コメント目のリンクから,https://treecosme.home.blog/2026/08/07/月末、スタッフ全員の勤務時間を電卓で足してい/,8,published,(permalink取得失敗),2026-08-13T01:01:22.517Z
TQ-005,WP-008,もしもアフィリエイト,2026-08-12,スタッフが増えるほど、労務まわりの手続きは複雑になります。自分でやり切るか、プロに任せるか——判断を誤ると採用のたびに時間を取られます。任せる/自分でやるの見極め方をまとめました。 / 👉 1コメント目のリンクから,https://treecosme.home.blog/2026/08/07/スタッフを雇い始めた店の労務、自分でやる？外/,8,approved,,
TQ-006,WP-004,楽天アフィリエイト（RKT-002）,2026-08-12,"レジ横に何となく置いてる看板、実は素通りされていませんか。A型看板は毎日繰り返される""最初の接客""です。両面表示・書き換えやすさ・設置場所、失敗しない3つのチェックポイントをまとめました。 / 👉 1コメント目のリンクから",https://treecosme.home.blog/?p=56,8,approved,,
TQ-007,WP-012,Amazonアソシエイト,2026-08-12,"POSレジを入れたあと、タブレットが手で支えたまま・バーコードが読み込めない・レシートがなかなか出ない——そんな""地味な困る""が毎日のストレスになっていませんか。3カテゴリに絞って選び方をまとめました。 / 👉 1コメント目のリンクから",https://treecosme.home.blog/2026/08/10/%e3%83%ac%e3%82%b8%e5%91%a8%e3%82%8a%e3%81%ae%e5%9c%b0%e5%91%b3%e3%81%ab%e5%9b%b0%e3%82%8b%e3%82%92%e8%a7%a3%e6%b6%88%e3%81%99%e3%82%8b%e6%a9%9f%e5%99%a8%e3%81%be%e3%81%a8%e3%82%81%e3%80%90/,8,approved,,
TQ-008,WP-013,Amazonアソシエイト,2026-08-13,"「同じメニューなのにあの店の写真は美味しそう」——差はカメラではなく""光""です。スマホ1台でも、リングライトを使うだけでSNS投稿やGoogleマップの写真は見違えます。物撮り・SNS時短グッズをまとめました。 / 👉 1コメント目のリンクから",https://treecosme.home.blog/2026/08/10/%e3%82%b9%e3%83%9e%e3%83%9b1%e5%8f%b0%e3%81%a7%e9%81%b8%e3%81%b0%e3%82%8c%e3%82%8b%e6%8a%95%e7%a8%bf%e3%81%ab%e3%80%82%e7%89%a9%e6%92%ae%e3%82%8a%e3%83%bbsns%e6%99%82%e7%9f%ad%e3%82%b0%e3%83%83/,8,approved,,
TQ-009,WP-014,Amazonアソシエイト,2026-08-13,「AIって結局、パソコンの中の話でしょ」——そう思っていませんか。スマートグラス・AIボイスレコーダー・AI翻訳機、どれも今すぐ手に取れる価格帯です。経営者・店主が知っておくべき3選をまとめました。 / 👉 1コメント目のリンクから,https://treecosme.home.blog/2026/08/10/%e7%b5%8c%e5%96%b6%e8%80%85%e3%83%bb%e5%ba%97%e4%b8%bb%e3%81%8c%e4%bb%8a%e7%9f%a5%e3%81%a3%e3%81%a6%e3%81%8a%e3%81%8d%e3%81%9f%e3%81%84%e3%80%81%e6%9c%80%e5%85%88%e7%ab%afai%e3%82%a2%e3%82%a4%e3%83%86/,8,approved,,
TQ-010,WP-015,Amazonアソシエイト,2026-08-13,PCを買い替えたのが3年以上前なら、今は「AIが処理を手伝う」設計のCopilot+PCが標準になりつつあります。Web会議が多い方はヘッドセットも見直しどき。経営者向けに2アイテムをまとめました。 / 👉 1コメント目のリンクから,https://treecosme.home.blog/2026/08/10/2026%e5%b9%b4%e3%80%81%e7%b5%8c%e5%96%b6%e8%80%85%e3%81%8c%e4%bb%95%e4%ba%8b%e9%81%93%e5%85%b7%e3%81%a8%e3%81%97%e3%81%a6%e6%8a%bc%e3%81%95%e3%81%88%e3%81%a6%e3%81%8a%e3%81%8d%e3%81%9f%e3%81%84pc/,8,approved,,
TQ-011,WP-HUB,A8.net;もしもアフィリエイト,2026-08-14,開業を決めた瞬間、やることが一気に増えます。レジ・会計・ドメイン・勤怠・労務——「何を、どの順番で揃えるか」を1本にまとめました。迷ったらまず会計ソフトの無料登録から。 / 👉 1コメント目のリンクから,https://treecosme.home.blog/2026/08/10/%e5%ba%97%e8%88%97%e3%82%aa%e3%83%bc%e3%83%8a%e3%83%bc%e3%81%8c%e9%96%8b%e6%a5%ad%e3%80%9c%e9%81%8b%e5%96%b6%e3%81%a7%e6%8f%83%e3%81%88%e3%82%8b%e3%83%84%e3%83%bc%e3%83%ab%e7%b7%8f%e3%81%be%e3%81%a8/,8,approved,,
