# =====================================================================
# wordpress_posts_queue.csv — WordPress（店主のAI時短メモ）記事 公開キュー
# =====================================================================
# 作成: 2026-08-04（TASK-031）
# 位置づけ: note_posts_queue.csv と対になるキュー。treecosme.home.blog
#   （店主のAI時短メモ）向けの記事の進捗を管理する。
#   運用フローの詳細は design/RIO_802_WORDPRESS_OPERATIONS_SOP.md を参照。
#   文字数・品質基準は design/AFFILIATE_ARTICLE_STANDARDS.md を参照。
#
# 重要: WordPress公式APIは未導入のため、このキューはn8nが自動処理する対象では
#   ない。あくまで人間（ゆうさん）とClaude in Chromeのブラウザ操作を人間が
#   確認しながら進めるための進捗管理表。draft_status の遷移はすべて人間の
#   操作結果を見てから手動で更新する。
#
# カラム定義:
#   id                     : 一意ID（例: WP-001）
#   keyword                : メインキーワード
#   search_intent          : AFFILIATE_ARTICLE_STANDARDS.md §2の9分類のいずれか
#   article_type           : 同ドキュメント§1の10分類のいずれか
#   target_word_count_min  : 目標文字数レンジの下限
#   target_word_count_max  : 目標文字数レンジの上限
#   actual_word_count      : 実際の文字数（下書き保存時点のもの）
#   affiliate_program      : 主に紹介しているアフィリエイトプログラム（複数の場合は;区切り）
#   product_name           : 主に紹介している商品・サービス名（複数の場合は;区切り）
#   qa_score                : quality-reviewerによる100点満点スコア（AFFILIATE_ARTICLE_STANDARDS.md §7）
#   compliance_score        : 同スコアリングのコンプライアンス項目（10点満点）
#   affiliate_link_status   : pending（未発行・商品名のみ）/ inserted（実リンク挿入済み）
#   wp_edit_url             : WordPress編集画面のURL（作成後に記入）
#   draft_status            : not_started / draft_saved / qa_passed / published
#   published_url           : 公開後の記事URL（公開後に記入）
#   published_at            : 公開日時（公開後に記入）
#   added_date               : このキューに追加した日 YYYY-MM-DD
#
# 注意: 行頭が「#」の行はコメント。
#
#
#
#
#
#
#
#
#
#
#
id,keyword,search_intent,article_type,target_word_count_min,target_word_count_max,actual_word_count,affiliate_program,product_name,qa_score,compliance_score,affiliate_link_status,wp_edit_url,draft_status,published_url,published_at,added_date
WP-001,美容室 ホームページ制作 比較,比較検討,比較記事,5000,8000,,もしもアフィリエイト,サロンプロパートナーズ;リーズナブルHP;PACKPLAN;見積太郎;名刺代わりのシンプルなホームページの制作;ホームページ格安制作所;町のホームページ屋さん;だれでもHP;すぐウェブ,,,pending,https://treecosmehome.wordpress.com/wp-admin/post.php?post=27&action=edit&classic-editor,trashed,,,2026-08-04
WP-002,見積もりシミュレーター 比較,比較検討,比較記事,4000,5500,3356,もしもアフィリエイト,見積太郎;PACKPLAN,88,10,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=37&action=edit&classic-editor,published,https://treecosme.home.blog/2026/08/05/「料金はいくらですか？」対応、店舗はどう減ら/,2026-08-05 01:47,2026-08-04
WP-003,POSレジ 選び方,問題解決,悩み解決・使い方記事,2500,4500,3977,A8.net,レジチョイス,94,10,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=51&action=edit&classic-editor,published,https://treecosme.home.blog/2026/08/05/posレジ選びで失敗しないために｜美容室・飲食店/,2026-08-05 01:11,2026-08-05
WP-004,A型看板 選び方,問題解決,悩み解決・使い方記事,2500,4500,2806,楽天アフィリエイト（RKT-002）,A型看板（黒板タイプ・MOREAGE）,91,9,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=56&action=edit&classic-editor,published,https://treecosme.home.blog/?p=56,2026-08-05 09:26,2026-08-05
WP-005,確定申告 ソフト 比較 個人事業主,比較検討,比較記事,5000,8000,5078,A8.net;もしもアフィリエイト,やよいの青色申告オンライン;マネーフォワード クラウド確定申告,94,10,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=59&action=edit&classic-editor,published,https://treecosme.home.blog/2026/08/07/個人事業主の会計ソフト、弥生とマネーフォワー/,2026-08-07 21:38,2026-08-05
WP-006,独自ドメイン 取得 お名前.com 店舗,申込み方法,購入方法記事,2000,4000,2676,A8.net,お名前.com,90,10,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=62&action=edit&classic-editor,published,https://treecosme.home.blog/2026/08/07/店の独自ドメインを取るなら？お名前-comでの取得/,2026-08-07 21:40,2026-08-05
WP-007,勤怠管理 アプリ 無料 小さな店,問題解決,悩み解決・使い方記事,2500,4500,2551,もしもアフィリエイト,Relix勤怠,90,10,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=65&action=edit&classic-editor,published,https://treecosme.home.blog/2026/08/07/月末、スタッフ全員の勤務時間を電卓で足してい/,2026-08-07 21:35,2026-08-05
WP-008,労務 アウトソーシング 代行,比較検討,悩み解決・比較記事,2500,4500,2430,もしもアフィリエイト,Remoba労務,90,10,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=67&action=edit&classic-editor,published,https://treecosme.home.blog/2026/08/07/スタッフを雇い始めた店の労務、自分でやる？外/,2026-08-07 21:42,2026-08-05
WP-009,キャッシュレス決済 端末 選び方 店舗,問題解決,悩み解決・使い方記事,2500,4500,4601,提携申請中（A8.net/もしも/バリューコマース候補）,Square;STORES決済;楽天ペイ,,,pending,,draft_saved,,,2026-08-08
WP-010,店舗 消耗品 まとめ買い,問題解決,悩み解決・使い方記事,2500,4500,3700,Amazonアソシエイト,アズワンペーパータオル(B09X4V6HVM);ペーパーシーツ防水(B07922K1KB);ニトリル手袋(B0H191CC7N);業務用アルコール(B0CYC984R4);除菌ウェット(B002OB4388);業務用ゴミ袋(B01MSJJ1CN);キッチンペーパー(B07NQKZ2Y6);業務用ラップ(B0G9KZVBWZ);レジロール(B0CKQZ7FMG),,,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=77&action=edit,published,https://treecosme.home.blog/2026/08/09/小さな店の消耗品、amazonで「まとめ買い」すべきも/,2026-08-09,2026-08-09
WP-011,店舗 販促グッズ おすすめ,問題解決,悩み解決・使い方記事,2500,4500,3747,Amazonアソシエイト,のぼりポールスターターセット(B0DMVR7Y1Z);のぼり台鉄製5台(B09SHM66ZK);卓上POPスタンドKINOKINO(B08JGMGZ2T);アクリルスタンド6枚(B0H26J3MPS);ソフケンアルミ額縁A2黒(B00CBUNZFO);フィットフレームA2前開(B000ULGD8M),,,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=87&action=edit,published,https://treecosme.home.blog/2026/08/09/広告費をかける前に。小さな店の「素通りされな/,2026-08-09,2026-08-09
WP-012,レジ周り 機器 おすすめ,問題解決,悩み解決・使い方記事,2500,4500,2907,Amazonアソシエイト,タブレットスタンド盗難防止(B0DX6T8YRT);AboveTEKタブレットスタンド(B06XB7KWGV);Teraバーコードリーダー(B07T9J9Q99);Teraバーコードリーダー1次元(B0CHHTQW1C);セイコーモバイルプリンター(B073JMLNMN);MUNBYNレシートプリンター(B0D492L82N),,,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=90&action=edit,published,https://treecosme.home.blog/2026/08/10/%e3%83%ac%e3%82%b8%e5%91%a8%e3%82%8a%e3%81%ae%e5%9c%b0%e5%91%b3%e3%81%ab%e5%9b%b0%e3%82%8b%e3%82%92%e8%a7%a3%e6%b6%88%e3%81%99%e3%82%8b%e6%a9%9f%e5%99%a8%e3%81%be%e3%81%a8%e3%82%81%e3%80%90/,2026-08-10,2026-08-10
WP-013,物撮り リングライト 店舗 SNS,問題解決,悩み解決・使い方記事,2500,4500,2424,Amazonアソシエイト,Latunaリングライト三脚(B0FH9FSTP2);自撮り棒ミニ四脚(B0CC9JRS4B);NIIMBOTラベルライター(B0CZ6WCHGF),,,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=91&action=edit,published,https://treecosme.home.blog/2026/08/10/%e3%82%b9%e3%83%9e%e3%83%9b1%e5%8f%b0%e3%81%a7%e9%81%b8%e3%81%b0%e3%82%8c%e3%82%8b%e6%8a%95%e7%a8%bf%e3%81%ab%e3%80%82%e7%89%a9%e6%92%ae%e3%82%8a%e3%83%bbsns%e6%99%82%e7%9f%ad%e3%82%b0%e3%83%83/,2026-08-10,2026-08-10
WP-014,最先端 AIアイテム 経営者,情報収集,おすすめ・まとめ記事,2500,4500,3098,Amazonアソシエイト,RokidスマートAIグラス(B0H2DYK149);PlaudNotePinS(B0G6F1PZXY);ポケトークS2(B0G6D3ZB73),,,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=93&action=edit,published,https://treecosme.home.blog/2026/08/10/%e7%b5%8c%e5%96%b6%e8%80%85%e3%83%bb%e5%ba%97%e4%b8%bb%e3%81%8c%e4%bb%8a%e7%9f%a5%e3%81%a3%e3%81%a6%e3%81%8a%e3%81%8d%e3%81%9f%e3%81%84%e3%80%81%e6%9c%80%e5%85%88%e7%ab%afai%e3%82%a2%e3%82%a4%e3%83%86/,2026-08-10,2026-08-10
WP-015,2026年 Copilot+PC ビジネス ガジェット,情報収集,おすすめ・まとめ記事,2500,4500,1900,Amazonアソシエイト,mouse Copilot+PCノートパソコン(B0GZVHHMSJ);Shokz OpenComm2(B0DSJBWQ3X),,,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=97&action=edit,published,https://treecosme.home.blog/2026/08/10/2026%e5%b9%b4%e3%80%81%e7%b5%8c%e5%96%b6%e8%80%85%e3%81%8c%e4%bb%95%e4%ba%8b%e9%81%93%e5%85%b7%e3%81%a8%e3%81%97%e3%81%a6%e6%8a%bc%e3%81%95%e3%81%88%e3%81%a6%e3%81%8a%e3%81%8d%e3%81%9f%e3%81%84pc/,2026-08-10,2026-08-10
WP-HUB,店舗 開業 ツール 揃える,情報収集,おすすめ・まとめ記事,6000,10000,3500,A8.net;もしもアフィリエイト;Amazonアソシエイト;楽天アフィリエイト,やよいの青色申告;マネーフォワードクラウド;レジチョイス;お名前.com;Relix勤怠;Remoba労務,,,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=101&action=edit,published,https://treecosme.home.blog/2026/08/10/%e5%ba%97%e8%88%97%e3%82%aa%e3%83%bc%e3%83%8a%e3%83%bc%e3%81%8c%e9%96%8b%e6%a5%ad%e3%80%9c%e9%81%8b%e5%96%b6%e3%81%a7%e6%8f%83%e3%81%88%e3%82%8b%e3%83%84%e3%83%bc%e3%83%ab%e7%b7%8f%e3%81%be%e3%81%a8/,2026-08-10,2026-08-10
WP-016,青色申告 特別控除 65万円 やり方,情報収集,悩み解決・使い方記事,2500,4000,2640,A8.net;もしもアフィリエイト,やよいの青色申告;マネーフォワード クラウド会計,91,,pending,https://treecosmehome.wordpress.com/wp-admin/post.php?post=104&action=edit,published,https://treecosme.home.blog/2026/08/10/%e9%9d%92%e8%89%b2%e7%94%b3%e5%91%8a%e7%89%b9%e5%88%a5%e6%8e%a7%e9%99%a465%e4%b8%87%e5%86%86%e3%81%ae%e3%82%84%e3%82%8a%e6%96%b9%ef%bd%9c%e6%9d%a1%e4%bb%b6%e3%81%af4%e3%81%a4%e3%80%82%e4%bc%9a/,2026-08-10,2026-08-10
WP-017,店舗 Wi-Fi ルーター おすすめ 法人,問題解決,おすすめ・まとめ記事,2500,4000,2930,Amazonアソシエイト,TP-Link Archer C6;Archer AX3000/A;Deco X50 2台,90,,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=105&action=edit,published,https://treecosme.home.blog/2026/08/10/%e5%ba%97%e8%88%97%e7%94%a8wi-fi%e3%83%ab%e3%83%bc%e3%82%bf%e3%83%bc%e3%81%ae%e9%81%b8%e3%81%b3%e6%96%b9%e3%81%a8%e3%81%8a%e3%81%99%e3%81%99%e3%82%813%e9%81%b8%ef%bd%9c%e6%9d%a5%e5%ae%a2%e7%94%a8/,2026-08-10,2026-08-10
WP-018,個人事業主 請求書 無料 アプリ 書き方,申込み方法,悩み解決・使い方記事,2500,4000,2645,もしもアフィリエイト;A8.net,マネーフォワード クラウド会計;マネーフォワード クラウド確定申告,90,,pending,https://treecosmehome.wordpress.com/wp-admin/post.php?post=106&action=edit,published,https://treecosme.home.blog/2026/08/10/%e5%80%8b%e4%ba%ba%e4%ba%8b%e6%a5%ad%e4%b8%bb%e3%81%ae%e8%ab%8b%e6%b1%82%e6%9b%b8%e3%81%ae%e6%9b%b8%e3%81%8d%e6%96%b9%ef%bd%9c%e5%bf%85%e9%a0%88%e9%a0%85%e7%9b%ae%e3%83%bb%e3%82%a4%e3%83%b3%e3%83%9c/,2026-08-10,2026-08-10
WP-019,店舗 防犯カメラ おすすめ 小規模,問題解決,おすすめ・まとめ記事,2500,4000,3195,Amazonアソシエイト,Tapo C200;Tapo C210/A;Tapo C520WS,91,,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=107&action=edit,published,https://treecosme.home.blog/2026/08/10/%e5%b0%8f%e8%a6%8f%e6%a8%a1%e5%ba%97%e8%88%97%e3%81%ae%e9%98%b2%e7%8a%af%e3%82%ab%e3%83%a1%e3%83%a9%e3%81%8a%e3%81%99%e3%81%99%e3%82%813%e9%81%b8%ef%bd%9c%e5%b7%a5%e4%ba%8b%e4%b8%8d%e8%a6%81%e3%81%aew/,2026-08-10,2026-08-10
WP-020,スタッフ 採用 労務 手続き チェックリスト,問題解決,悩み解決・使い方記事,2500,4000,2861,もしもアフィリエイト,Remoba労務,91,,pending,https://treecosmehome.wordpress.com/wp-admin/post.php?post=108&action=edit,published,https://treecosme.home.blog/2026/08/10/%e5%88%9d%e3%82%81%e3%81%a6%e3%82%b9%e3%82%bf%e3%83%83%e3%83%95%e3%82%92%e9%9b%87%e3%81%86%e3%81%a8%e3%81%8d%e3%81%ae%e5%8a%b4%e5%8b%99%e6%89%8b%e7%b6%9a%e3%81%8d%e3%83%81%e3%82%a7%e3%83%83%e3%82%af/,2026-08-10,2026-08-10
WP-021,電子契約 ツール 比較 中小企業 IT補助金,比較検討,比較記事,2500,4000,2970,A8.net,KANBEI SIGN,88,,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=109&action=edit,published,https://treecosme.home.blog/2026/08/10/%e9%9b%bb%e5%ad%90%e5%a5%91%e7%b4%84%e3%83%84%e3%83%bc%e3%83%ab%e3%81%af%e4%b8%ad%e5%b0%8f%e4%bc%81%e6%a5%ad%e3%81%93%e3%81%9d%e5%b0%8e%e5%85%a5%e4%be%a1%e5%80%a4%e3%81%8c%e5%a4%a7%e3%81%8d%e3%81%84/,2026-08-10,2026-08-10
WP-022,店舗 LINE 予約 システム 導入 集客,問題解決,悩み解決・使い方記事,2500,4000,3048,A8.net,リピッテ,89,,inserted,https://treecosmehome.wordpress.com/wp-admin/post.php?post=110&action=edit,published,https://treecosme.home.blog/2026/08/10/%e5%ba%97%e8%88%97%e3%81%aeline%e4%ba%88%e7%b4%84%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0%e5%b0%8e%e5%85%a5%e3%82%ac%e3%82%a4%e3%83%89%ef%bd%9c%e9%9b%bb%e8%a9%b1%e4%ba%88%e7%b4%84%e3%81%ae%e5%8f%96/,2026-08-10,2026-08-10
